lion 사자
tiger 호랑이
lemon 레몬
pencil 연필
dog 개
cat 고양이
apple 사과
bus 버스
file 파일
football 축구
baseball 야구
basketball 농구
mart 마트
math 수학
university 대학교
computer 컴퓨터
english 영어
window 창문
student 학생
mouse 쥐
water 물
hydrogen 수소
oxygen 산소
carbon 탄소
gold 금
connect 연결하다
compass 나침반
dragon 용
frog 개구리
house 집
box 상자
desert 사막
friend 친구
fun 재미
lunsh 점심식사
mountain 산
music 음악
name 이름
nickname 별명
radio 라디오
school 학교
sport 운동
subject 과목
teacher 선생님
walk 걷다
wear 입다
map 지도
government 정부
year 년
food 음식
law 법
bird 새
literature 문학
software 소프트웨어
power 힘
ability 능력
love 사랑
internet 인터넷
library 도서관
nature 자연
fact 사실
product 상품
investment 투자
society 사회
story 이야기
oven 오븐
definition 정의
language 언어
sercurity 보안
country 국가
exam 시험
movie 영화
boyfriend 남자친구
girlfriend 여자친구
paper 종이
news 뉴스
fishing 낚시
night 밤
role 역할
soup 수프
location 위치
moment 순간
wood 나무
airplane 비행기
lake 호수
death 죽음
advice 조언
man 남자
woman 여자
blood 피
effort 노력
photo 사진
camera 카메라
passion 열정
president 대통령
beer 맥주
stake 스테이크
virus 바이러스
hotel 호텔
mother 어머니
father 아버지
